type,category,sku,name_en,name_cn,price,price_status,pricing_tier,pricing_label,price_suggestion_cn
整机 Machine,Floor Sweeper / 扫地车,RIDE ON A1280,Ride On A1280 Floor Sweepers,驾驶式 A1280 扫地车s,询单 Inquiry,询单,Machines,整机·询单模式,整机→询单表单，不发公开价格
配件 Part,Disc Brush / 盘刷,103859748515,China Factory Floor Scrubber Spare Part Disc Brush  for Kacher BD530,中国工厂 洗地机 配件 盘刷  for Kacher BD530,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Clutch Plate / 离合器盘,103099374883,Good Quality Clutch Plate for Scrubbing Machine Accessories,优质 离合器盘 for Scrubbing Machine 配件,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Pad Holder / 针盘,11477313796,Pad Holder - 17 Inch - Advance 56380378 - 3 Lug,针盘 - 17 Inch - Advance 56380378 - 3 Lug,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Hose / 水管,103775024782,Floor Scrubber Spare Part Drain Hose Assembly Scrubber Hose Set,洗地机 配件 排水管 总成 Scrubber 管 套,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103699350051,Clutch Plate Center Locator for Scrubbing Brush Pad Retainer Retainer Centering Device Buckles,离合器盘 Center Locator for Scrubbing 刷 百洁垫 Retainer Retainer Centering Device Buckles,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Hose / 水管,102503483951,Kacher OEM Drain Hose  ID38*1100mm for Kacher B40 B60,Kacher OEM 排水管  ID38*1100mm for Kacher B40 B60,,缺价,L3-OEM,OEM/定制·仅询单,OEM/定制配件（不公开价格）
配件 Part,Brush / 刷类,103655156338,Forklift Road Sweeper Attachment Brushes Forklift Brush Replacement Strip Brush,Forklift Road Sweeper Attachment 刷es Forklift 刷 替换 Strip 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103860143191,Viper 20Inch Floor Scrubbing Brush for AS510B AS5160 Auto Scrubbers,Viper 20Inch Floor Scrubbing 刷 for AS510B AS5160 Auto Scrubbers,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Clutch Plate / 离合器盘,101548652397,Cleaning Equipment Floor Scrubber Machine Parts Clutch Plate NP-9200,清洁设备 洗地机 Machine Parts 离合器盘 NP-9200,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,11701766457,"Cleaning Equipment Floor Scrubber Machine Parts Disc Brush for Kacher BD530 , BD90,BD140, BD45,BD40","清洁设备 洗地机 Machine Parts 盘刷 for Kacher BD530 , BD90,BD140, BD45,BD40",,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,103862201645,PP 430mm Floor Scrubber Cleaning Machine Brush for Tennant T2/T3,PP 430mm 洗地机 清洁机 刷 for Tennant T2/T3,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,103854277933,"Part#399242, 1220214 T5 Grit Abrasive/Stripping Brushes Fits Tennant","Part#399242, 1220214 T5 Grit Abrasive/Stripping 刷es Fits Tennant",,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103851699691,China Factory Directly Sale Carpet Scrubbing Brush for Any Brand,中国工厂 Directly Sale Carpet Scrubbing 刷 for Any Brand,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Solenoid Valve / 电磁阀,104430594920,Floor Scrubber Universal Solenoid Valve Water Solenoid Valve Fits Tennat/Nilfik/Karch,洗地机 通用 电磁阀 Water 电磁阀 Fits Tennat/Nilfik/Karch,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Squeegee / 吸水胶条,102722220914,Auto Scrubber Parts Rubber Strip /squeegee for Tennant T16,Auto Scrubber Parts Rubber Strip /吸水胶条 for Tennant T16,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,102013107468,Nilfisk Viper FANG 18C Floor Scrubber Disc Brush---VF80211B,Nilfisk Viper FANG 18C 洗地机 盘刷---VF80211B,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Carbon Brush / 碳刷,104387336096,Carbon Brush for Floor Scrubber Machine,碳刷 for 洗地机 Machine,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Hose / 水管,102498811796,Drain Hose--Tennant T3 &T5--1043538 for Floor Scrubber,排水管--Tennant T3 &T5--1043538 for 洗地机,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Roller Brush / 滚刷,103138399643,349mm Roller Brush Replacement Nylon Brush Kits for Cleaning Equipment Apply to 420 Machine Duplex,349mm 滚刷 替换 Nylon 刷 套件s for 清洁设备 Apply to 420 Machine Duplex,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Pad Holder / 针盘,103113429415,Pad Holder Driver Accessories for Sweeper Machine for Viper,针盘 Driver 配件 for Sweeper Machine for Viper,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Clutch Plate / 离合器盘,101539693092,Floor Cleaning Equipment Spare Part Kacher NP-700  Clutch Plate,Floor 清洁设备 配件 Kacher NP-700  离合器盘,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Roller Brush / 滚刷,103131390763,45 Inch Cylindrical Scrub Brush PP/Abrasive Roller Brush High Quality,45 Inch Cylindrical Scrub 刷 PP/Abrasive 滚刷 高品质,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Hose / 水管,102500143157,Floor Scrubber Spare Part Drain Hose for Tennant T300/T500,洗地机 配件 排水管 for Tennant T300/T500,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,101720530,Dulevo5000 Sweeper 800mm Front Brush,Dulevo5000 Sweeper 800mm Front 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,103324466186,China Cleaning Parts Factory Lug Fixing for Scrub Brush,China Cleaning Parts Factory Lug Fixing for Scrub 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,102005253936,Nilfisk Viper AS4325/AS4335 17 Inch Floor Scrubber Disc Brush __ VS15374,Nilfisk Viper AS4325/AS4335 17 Inch 洗地机 盘刷 __ VS15374,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Squeegee / 吸水胶条,101440719895,Scrubber Spare Part Squeegee Assembly Suitable for Various Scrubber Models,Scrubber 配件 吸水胶条 总成 Suitable for Various Scrubber Models,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103916792396,Diamond Products 17Inch Floor Scrubbing Brush,Diamond Products 17Inch Floor Scrubbing 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103569939119,Nilfisk L08812891 Floor Scrubber Disc/Disk Brush Suitable for Nilfisk,Nilfisk L08812891 洗地机 Disc/盘刷 Suitable for Nilfisk,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Side Brush / 边刷,87141258,Dulevo 6000 Sweeper Gutter Broom 5050041877,Dulevo 6000 Sweeper 边刷 5050041877,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Clutch Plate / 离合器盘,103320457980,Single Disc Machine T290 T300 T300e Clutch Plate Clutch Disc Clutch Cover for Scrubbers,Single Disc Machine T290 T300 T300e 离合器盘 Clutch Disc Clutch Cover for Scrubbers,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Squeegee / 吸水胶条,103655310946,Floor Machine Spare Parts for Different Brands Squeegee Assembly Floor Scrubber Squeegee Assembly,Floor Machine 配件s for Different Brands 吸水胶条 总成 洗地机 吸水胶条 总成,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Side Brush / 边刷,65749296,City Sweeper Custom PP Mixed Steel Wire 4 Rows Sweeper Side Brush,City Sweeper Custom PP Mixed Steel Wire 4 Rows Sweeper 边刷,,缺价,L3-OEM,OEM/定制·仅询单,OEM/定制配件（不公开价格）
配件 Part,Pad Holder / 针盘,103854650360,Tennant 605123 Pad Driver Assembly,Tennant 605123 针盘驱动 总成,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Disc Brush / 盘刷,12344458268,"Kacher BDS 43/150 C, BDS 43/Duo C, BDS 43/410 C Floor Scrubber Dryer Spare Parts - Floor Disc Brush","Kacher BDS 43/150 C, BDS 43/Duo C, BDS 43/410 C 洗地机 Dryer 配件s - Floor 盘刷",,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,103820116731,Produce Any Brand Floor Scrubber Machine Brushes Accessories Polishing Rotary Floor Scrubber Cleaning Brushes,Produce Any Brand 洗地机 Machine 刷es 配件 Polishing Rotary 洗地机 Cleaning 刷es,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Squeegee / 吸水胶条,104155251862,Cleaning Equipment Parts Tennat Spare Part Brush/Pad Holder/Motor Filter/Drain Hose/Pads/Rubber/Squeegee,清洁设备 Parts Tennat 配件 刷/针盘/电机 过滤器/排水管/百洁垫s/Rubber/吸水胶条,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Roller Brush / 滚刷,101521510723,"Dulevo 5000 Sweeper Spare Parts, Main Brush/Roller Brush/PPL","Dulevo 5000 Sweeper 配件s, Main 刷/滚刷/PPL",,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,83869572,Kelenco Floor Cleaning Machine Parts & Accessories 16inch Scrubber Disc Brush,Kelenco Floor 清洁机 Parts & 配件 16inch Scrubber 盘刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Side Brush / 边刷,103210457648,Gutter Broom Road Snow Sweeper Poly Circular Brush Sweeper Side Brush,边刷 Road Snow Sweeper Poly Circular 刷 Sweeper 边刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,65673327,Snow Sweeping Disc Wafer Brush-PP Ring/Mixed Ring/ Steel Wire Ring,Snow Sweeping Disc Wafer 刷-PP Ring/Mixed Ring/ Steel Wire Ring,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103321052061,Clutch Plate for Scrubbers Machine Disc Brush,离合器盘 for Scrubbers Machine 盘刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,11675059376,Kacher BD40/12C PP Red Disc Brush,Kacher BD40/12C PP Red 盘刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Squeegee / 吸水胶条,103636270746,Floor Machine Spare Parts for Scrubber Dryer Tanjie Squeegee Assembly Floor Scrubber Squeegee Assembly,Floor Machine 配件s for Scrubber Dryer Tanjie 吸水胶条 总成 洗地机 吸水胶条 总成,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103743012354,Industrial Round Floor Cleaning Disc Brush Used for Washing Floor Machine,工业 Round Floor Cleaning 盘刷 Used for Washing Floor Machine,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Squeegee / 吸水胶条,104646272798,Floor Scrubber Karch BD50/50 Squeegee Rubber Natural Rubber/polyurethane  Material,洗地机 Karch BD50/50 吸水胶条 Rubber Natural Rubber/polyurethane  地垫erial,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103612505105,16inch Taski Floor Scrubber Disc Brush with PP Material Scrubbing Brush Floor Buffer Brushes,16inch Taski 洗地机 盘刷 with PP 地垫erial Scrubbing 刷 Floor Buffer 刷es,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,103555457882,Factory Directly Sale Comac/Fimap Cleaning Floor Scrubber Brush,工厂直销ly Sale Comac/Fimap Cleaning 洗地机 刷,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Disc Brush / 盘刷,11920183886,HAKO B45 Scrubber Machine Spare Part- Disc Brush / Pad Holder,HAKO B45 Scrubber Machine 配件- 盘刷 / 针盘,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,103857638931,"TENNANT NOBLES 1016810 NYLON 3 LUG BRUSH 20"" for T300E SPEED SCRUB 300","TENNANT NOBLES 1016810 NYLON 3 LUG 刷 20"" for T300E SPEED SCRUB 300",,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,102029927808,VIPER LS160/LS160HD 17 Inch PA Floor Scrubber Disc Brush for Cleaning Machine,VIPER LS160/LS160HD 17 Inch PA 洗地机 盘刷 for 清洁机,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Mat / 地垫,103154334942,The Sense of Goods Is Easy to Use Numatic Cleaning Equipment Parts Sweeper Floor Scrubber Brush,The Sense of Goods Is Easy to Use Nu地垫ic 清洁设备 Parts Sweeper 洗地机 刷,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Pad Holder / 针盘,102282413983,"17"" Scrub Pad Driver for Viper AS4325/AS4335 Floor Scrubber  Part # VS15440","17"" Scrub 针盘驱动 for Viper AS4325/AS4335 洗地机  Part # VS15440",,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Disc Brush / 盘刷,103144666457,Cleaning Equipment Parts 13inch Floor Scrubber Disc Brush Suitable for Nilfisk SC3500,清洁设备 Parts 13inch 洗地机 盘刷 Suitable for Nilfisk SC3500,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Wheel / 轮子,104629863014,Tennant T7 Drive Wheel Floor Scrubber Machine Amer Drive Wheel Motor,Tennant T7 Drive 轮子 洗地机 Machine Amer Drive 轮子 电机,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Pad Holder / 针盘,102494191141,"NP9200 Clutch Plate Universal Pad Driver Clutch Plate for Most Standard Machines with a 5"" Center Hole","NP9200 离合器盘 通用 针盘驱动 离合器盘 for Most Standard Machines with a 5"" Center Hole",,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Pad Holder / 针盘,103895966886,Floor Scrubber Spare Part Pad Driver With NP-9200 Clutch Plate for Singe Disc Machine,洗地机 配件 针盘驱动 With NP-9200 离合器盘 for Singe Disc Machine,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Vacuum Motor / 真空电机,104152244725,Vacuum Motor Tennant Vacuum Motor for Floor Scrubber Machine,真空电机 Tennant 真空电机 for 洗地机 Machine,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Disc Brush / 盘刷,66284266,Kacher BD50/50C Floor Scrubber Brush  PP Red Disc Brush,Kacher BD50/50C 洗地机 刷  PP Red 盘刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Hose / 水管,103008793434,Floor Scrubber Spare Part Vacuum Hose and Drain Hose for Tenant T500/T500E and Nobles SS 500,洗地机 配件 吸水管 and 排水管 for Tenant T500/T500E and Nobles SS 500,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,104940123244,Nilfisk/Viper/Gaomei Single Disc Machine Spare Part Carpet Shampoo Brush,Nilfisk/Viper/Gaomei Single Disc Machine 配件 Carpet Shampoo 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Clutch Plate / 离合器盘,101535080815,Floor Cleaning Equipment Spare Part Magnet Buckle Clutch Plate,Floor 清洁设备 配件 Magnet Buckle 离合器盘,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Solenoid Valve / 电磁阀,104161545443,Tennant T5 Electromagnetic Valve Solenoid Valve,Tennant T5 Electromagnetic 阀 电磁阀,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Pad Holder / 针盘,12343596523,Hawk Floor Machine 19'' Pad Driver with NP9200,Hawk Floor Machine 19'' 针盘驱动 with NP9200,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Disc Brush / 盘刷,102484930197,Factory Sale Kacher  BD50-50 19inch Floor Scrubber Disc Brush for Floor Scrubber,Factory Sale Kacher  BD50-50 19inch 洗地机 盘刷 for 洗地机,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,101539965819,GaoMei 1900/Hako E800 Floor Sweeper  Roller Sweeper Brush,GaoMei 1900/Hako E800 扫地车  Roller Sweeper 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Squeegee / 吸水胶条,11672380833,Comac 86B  Floor Scrubber Parts Squeegee,Comac 86B  洗地机 Parts 吸水胶条,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Pad Holder / 针盘,103774487871,Clutch Plate With Brush Holder Tufted Pad/Disc Driver Floor Buffer Pad Holder for Polishing/Cleaning,离合器盘 With 刷 Holder Tufted 百洁垫/Disc Driver Floor Buffer 针盘 for Polishing/Cleaning,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Brush / 刷类,104941081863,Nilfisk/Viper/Gaomei Single Disc Machine Spare Part Carpet Shampoo Brush,Nilfisk/Viper/Gaomei Single Disc Machine 配件 Carpet Shampoo 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,104940987673,Nilfisk/Viper/Gaomei Electric Spin Scrubber Power Brush Floor Scrubber Cleaning Brush,Nilfisk/Viper/Gaomei Electric Spin Scrubber Power 刷 洗地机 Cleaning 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,103105081014,First Quality Brushstrip Disc Brush  for Weizhuo Auto Scrubber X9-105 Scrubber Bush 21 Inches,First Quality 刷strip 盘刷  for Weizhuo Auto Scrubber X9-105 Scrubber Bush 21 Inches,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Roller Brush / 滚刷,104786452939,Minuteman Port a Scrub 12 Spare Part -  Roller Brush Sweeper Brush,Minuteman Port a Scrub 12 配件 -  滚刷 Sweeper 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,11701761732,Gaomei Floor Scrubber GM50B Spare Part Disc Brush/ Pad Driver,Gaomei 洗地机 GM50B 配件 盘刷/ 针盘驱动,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Disc Brush / 盘刷,102511577886,Factory Sale IPC CT40 18inch Floor Scrubber Disc Brush for Floor Scrubber,Factory Sale IPC CT40 18inch 洗地机 盘刷 for 洗地机,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,104425081122,Tenant Floor Scrubber Machine Brush with PP Bristles Polypropylene Brush,Tenant 洗地机 Machine 刷 with PP Bristles Polypropylene 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Side Brush / 边刷,103206399694,The Newest Road Sweeper Parts Brushes Broom Side Brush for Electric Road Sweeper,The Newest Road Sweeper Parts 刷es Broom 边刷 for Electric Road Sweeper,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Brush / 刷类,65669315,Nilfisk/Viper/Gaomei Single Disc Machine Spare Part Carpet Shampoo Brush,Nilfisk/Viper/Gaomei Single Disc Machine 配件 Carpet Shampoo 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,102631231,16inch Comac 85B Electric Scrubber Machine Spare Part- Disc Brush/ Pad Driver,16inch Comac 85B Electric Scrubber Machine 配件- 盘刷/ 针盘驱动,,缺价,L2-Quote,中高价·询价,中高价工业配件（询价）
配件 Part,Hose / 水管,104445213799,Floor Scrubber Machine Parts Tennnt 1014274 Drain Hose Fits T7 Scrubber,洗地机 Machine Parts Tennnt 1014274 排水管 Fits T7 Scrubber,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Disc Brush / 盘刷,102858791034,Floor Scrubber Spare Parts Disc Brush for  Kacher BDS 43 Floor Scrubber Brush,洗地机 配件s 盘刷 for  Kacher BDS 43 洗地机 刷,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
配件 Part,Squeegee / 吸水胶条,104353808532,SQUEEGEE RUBBER SET FITS TENNANT 500MM 1011456 1011232 T3 T3E T5 T5E,吸水胶条 RUBBER 套 FITS TENNANT 500MM 1011456 1011232 T3 T3E T5 T5E,,缺价,L1-Priced,标准耗材·公开价,标准低价耗材（公开价格）
